Epoch,Accuracy,Precision,Recall,F1 score,AUC score,Avg False Positive,Avg False Negative,fair value_TP,deal price_TP,discounted cash flow_TP,market efficiency_TP,stock price_TP,market multiples_TP,analyst price target_TP,multiples-based valuation_TP,abnormal return_TP,irrelevant_TP,fair value_TN,deal price_TN,discounted cash flow_TN,market efficiency_TN,stock price_TN,market multiples_TN,analyst price target_TN,multiples-based valuation_TN,abnormal return_TN,irrelevant_TN,fair value_FP,deal price_FP,discounted cash flow_FP,market efficiency_FP,stock price_FP,market multiples_FP,analyst price target_FP,multiples-based valuation_FP,abnormal return_FP,irrelevant_FP,fair value_FN,deal price_FN,discounted cash flow_FN,market efficiency_FN,stock price_FN,market multiples_FN,analyst price target_FN,multiples-based valuation_FN,abnormal return_FN,irrelevant_FN
1,0.9347698252688174,0.9389865634096626,0.9347258485639687,0.9031898887608658,0.5,5.0,5.0,0,0,0,0,0,0,0,0,0,716,763,757,750,754,763,761,765,766,765,0,0,0,0,0,0,0,0,0,0,50,3,9,16,12,3,5,1,0,1,0
2,0.9386760752688174,0.9351086723092628,0.9386422976501305,0.9129251862982966,0.4719101501850887,4.7,4.7,0,0,3,0,0,0,0,0,0,716,763,757,746,754,763,761,765,766,765,7,0,0,4,0,0,0,0,0,0,43,3,9,13,12,3,5,1,0,1,0
3,0.9399361559139785,0.9546547904093836,0.9399477806788512,0.9240437710578222,0.5268623376133708,4.6,4.6,0,0,9,0,0,0,0,0,0,711,763,757,728,754,763,761,765,766,765,26,0,0,22,0,0,0,0,0,0,24,3,9,7,12,3,5,1,0,1,5
4,0.9255712365591396,0.942384739855399,0.9255874673629243,0.9214653732794099,0.5243374902832736,5.7,5.7,0,1,11,0,0,0,0,0,0,697,763,756,710,753,763,761,765,766,765,35,0,1,40,1,0,0,0,0,0,15,3,8,5,12,3,5,1,0,1,19
5,0.9255712365591396,0.9417023128344721,0.9255874673629243,0.9238872860749594,0.47824917042834103,5.7,5.7,0,1,13,0,0,0,0,0,0,695,763,752,711,752,762,761,765,766,765,40,0,5,39,2,1,0,0,0,0,10,3,8,3,12,3,5,1,0,1,21
6,0.926873319892473,0.9491511040522895,0.9268929503916449,0.9264915371864981,0.5449147858982202,5.6,5.6,0,4,12,1,0,0,0,0,0,693,763,754,715,753,760,761,765,766,765,36,0,3,35,1,3,0,0,0,0,14,3,5,4,11,3,5,1,0,1,23
7,0.9203209005376344,0.9562739460539529,0.9203655352480418,0.9278166964797168,0.6310567660611291,6.1,6.1,1,6,13,4,0,0,0,0,0,681,763,744,716,753,760,761,765,766,765,40,0,13,34,1,3,0,0,0,0,10,2,3,3,8,3,5,1,0,1,35
8,0.9020077284946236,0.9488731794415667,0.902088772845953,0.9169345289336002,0.6161277087199659,7.5,7.5,2,6,13,3,0,1,0,0,0,666,763,742,707,750,760,761,765,766,765,40,0,15,43,4,3,0,0,0,0,10,1,3,3,9,3,4,1,0,1,50
9,0.9163726478494624,0.9491837122161166,0.9164490861618799,0.9267965162737947,0.6176295682195091,6.4,6.4,2,6,12,4,0,1,0,0,0,677,763,747,711,751,762,760,765,766,765,40,0,10,39,3,1,1,0,0,0,10,1,3,4,8,3,4,1,0,1,39
10,0.9477066532258064,0.9557235967223839,0.9477806788511749,0.9465490992906137,0.6176762065011189,4.0,4.0,2,6,12,4,0,1,0,0,0,701,763,751,733,752,761,761,765,766,765,37,0,6,17,2,2,0,0,0,0,13,1,3,4,8,3,4,1,0,1,15
